   0.12500000E+03    0.69699831E+02    0.72797512E+02    0.93886690E+02    0.12571866E+03    0.78539816E+00    0.11034940E-04   -0.45030728E+00    0.37131279E+01    0.32606642E+01   -0.86876127E+00    0.99136098E-01    0.42030593E-01   -0.36009502E+00    0.12886786E+00   -0.31978794E+00    0.81144345E+00   -0.12324925E+00   -0.35386609E+00   -0.72811174E-02    0.18508141E+05   -0.87913396E+04   -0.78125000E+04    0.96668281E+00    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.98944268E+00    0.96668281E+00    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.98944268E+00    0.96668281E+00    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.98944268E+00    0.96668281E+00    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.10000948E+01    0.98944268E+00   -0.55957599E-01    0.63163547E-01    0.10487966E-01    0.33391104E-03    0.74267628E+01   -0.74267628E+01    0.25783891E+00   -0.25783891E+00    0.65213436E+01   -0.65213436E+01    0.11653095E+01   -0.96789737E+00   -0.19653869E+00    0.74406435E+01    0.23588728E+00    0.65287891E+01    0.81152428E+00   -0.31664274E+00   -0.87198731E+00    0.23117225E+02    0.66813194E+00    0.18830603E+02    0.66610796E-01   -0.59983752E+00   -0.59983752E+00    0.00000000E+00    0.56153853E-19    0.79313717E-21    0.39656682E-02    0.11721368E-04    0.82986906E-03  1  1  1  1  1  1  1  1
   0.12500000E+03    0.75375902E+02    0.87775457E+02    0.10032083E+03    0.13550629E+03    0.78539816E+00   -0.88238214E-05   -0.47028955E+00    0.18185354E+01    0.18134042E+00   -0.74744336E-01    0.28584617E-01   -0.91172430E-02   -0.21581910E+00    0.12886786E+00   -0.32569330E+00    0.88862787E+00   -0.11121779E+00   -0.38495987E+00   -0.33369629E-01    0.19936703E+05   -0.85741852E+04   -0.78125000E+04    0.95935424E+00    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.98596119E+00    0.95935424E+00    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.98596119E+00    0.95935424E+00    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.98596119E+00    0.95935424E+00    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.10001174E+01    0.98596119E+00   -0.46105649E-01    0.57913191E-01    0.71133721E-02    0.33391104E-03    0.36371239E+01   -0.36371239E+01    0.26489542E+00   -0.26489542E+00    0.36545646E+00   -0.36545646E+00    0.12735877E+01   -0.10332895E+00   -0.21447551E+00    0.36412523E+01    0.69568626E+00   -0.79451217E-01    0.89067959E+00   -0.75479547E-01   -0.32700981E+00    0.10973449E+02    0.22906902E+01   -0.49167685E+00    0.54390321E-02   -0.22621744E+00   -0.22621744E+00    0.00000000E+00    0.69435102E-19    0.68896568E-21    0.39655785E-02    0.94793553E-05    0.95534511E-03  1  1  1  1  1  1  1  1
   0.12500000E+03    0.70352480E+02    0.88846899E+02    0.71065362E+02    0.10400938E+03    0.78539816E+00   -0.13630371E-04   -0.17381389E+00    0.38649272E+00    0.24272923E-01   -0.27560492E-01    0.54579372E-02    0.70241479E-01    0.26030712E-02    0.12886786E+00   -0.17047438E+00    0.36742967E+00    0.45240602E-01   -0.14503567E+00   -0.48566481E-01    0.10217715E+05   -0.31959851E+03   -0.78125000E+04    0.10687142E+01    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.10381838E+01    0.10687142E+01    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.10381838E+01    0.10687142E+01    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.10381838E+01    0.10687142E+01    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.99977944E+00    0.10381838E+01   -0.17621441E-01    0.91026245E-02    0.13608320E-03    0.33391104E-03    0.79035927E+00   -0.79035927E+00    0.27368438E+00   -0.27368438E+00    0.72413633E-01   -0.72413633E-01    0.51246534E+00   -0.33018429E-01   -0.21571498E+00    0.77700189E+00    0.32875653E+00   -0.26491415E-01    0.37926081E+00   -0.93621802E-02   -0.20050383E+00    0.23855004E+01    0.10658381E+01   -0.21353751E+00    0.45720274E-02   -0.11925743E-01   -0.11925743E-01    0.00000000E+00    0.27048303E-11    0.17215129E-19    0.39669189E-02    0.24334244E-12    0.38233812E-04  1  1  1  1  1  1  1  1
   0.12500000E+03    0.65265897E+02    0.83977817E+02    0.70225532E+02    0.72134083E+02    0.78539816E+00    0.13391198E-04   -0.81975043E-01    0.26333002E+00    0.30968436E+00   -0.31953334E-01   -0.76200912E-02   -0.49664478E-01   -0.67576003E-02    0.12886786E+00   -0.59819433E-01    0.11309410E+00    0.23895777E-01    0.14932328E-01   -0.46064778E-01    0.67448755E+04    0.17752109E+04   -0.78125000E+04    0.95054054E+00    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.97837476E+00    0.95054054E+00    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.97837476E+00    0.95054054E+00    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.97837476E+00    0.95054054E+00    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.10001498E+01    0.97837476E+00   -0.64157221E-02   -0.27410441E-02   -0.30536700E-02    0.33391104E-03    0.53867309E+00   -0.53867309E+00    0.27138367E+00   -0.27138367E+00    0.62578233E+00   -0.62578233E+00    0.98161773E-01   -0.24333243E-01   -0.83715210E-01    0.62046097E+00    0.25496562E+00    0.52833788E+00    0.13187960E+00    0.51643755E-02   -0.11572265E+00    0.19325175E+01    0.71479692E+00    0.15639790E+01    0.44245814E-01    0.44245814E-01   -0.47542659E-02    0.00000000E+00    0.18179690E-15    0.37040991E-16    0.39654500E-02    0.36205238E-08    0.17769503E-07  1  1  1  1  1  1  1  1
   0.12500000E+03    0.76988860E+02    0.15502354E+03    0.83343584E+02    0.16831832E+03    0.78539816E+00   -0.29994173E-04   -0.21821704E+00    0.33518018E+01    0.33903252E+01   -0.54422464E+00    0.11017021E-01    0.34619981E-02   -0.41648595E-02    0.12886786E+00   -0.18457440E+00    0.95735133E+00    0.26503110E+00   -0.44046054E+00   -0.29864375E+00    0.12540983E+05   -0.68823229E+03   -0.78125000E+04    0.10090826E+01    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.10079459E+01    0.10090826E+01    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.10079459E+01    0.10090826E+01    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.10079459E+01    0.10090826E+01    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.99996641E+00    0.10079459E+01   -0.32104768E-02    0.13524112E-01   -0.98757733E-03    0.33391104E-03    0.67036075E+01   -0.67036075E+01    0.44086064E+00   -0.44086064E+00    0.68071680E+01   -0.68071680E+01    0.13978119E+01   -0.55524166E+00   -0.44960550E+00    0.68107352E+01    0.21728715E+00    0.67139674E+01    0.10828372E+01   -0.24533449E+00   -0.60895043E+00    0.21377206E+02    0.66273801E+00    0.19186025E+02    0.14833135E-01   -0.57552841E-01   -0.57552841E-01    0.00000000E+00    0.53038222E-16    0.93966723E-23    0.39661772E-02    0.12409918E-07    0.70046073E-01  1  1  1  1  1  1  1  1
   0.12500000E+03    0.74386569E+02    0.83190491E+02    0.81019907E+02    0.90023810E+02    0.78539816E+00   -0.20889831E-05   -0.32580581E+00    0.10080622E+01    0.14775178E+00   -0.34260015E-01    0.39104283E-01   -0.14910441E+00   -0.39742264E-01    0.12886786E+00   -0.29179535E+00    0.41062315E+00   -0.11124801E-01   -0.61931678E-01   -0.22883569E-01    0.15409143E+05   -0.43425464E+04   -0.78125000E+04    0.99477424E+00    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10006737E+01    0.99477424E+00    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10006737E+01    0.99477424E+00    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10006737E+01    0.99477424E+00    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10000113E+01    0.10006737E+01   -0.18393304E-01    0.17008671E-02   -0.76323193E-03    0.33391104E-03    0.20423773E+01   -0.20423773E+01    0.26181139E+00   -0.26181139E+00    0.29724859E+00   -0.29724859E+00    0.47255483E+00   -0.73364298E-01   -0.28067055E+00    0.20171020E+01    0.34050329E+00    0.21175840E+00    0.41215126E+00   -0.36123084E+00    0.33647370E-01    0.61170918E+01    0.15519182E+01    0.39081016E-01    0.67444081E-01    0.67444081E-01   -0.11822477E+00    0.00000000E+00    0.43165284E-16    0.66456653E-18    0.39659992E-02    0.15248365E-07    0.99042003E-06  1  1  1  1  1  1  1  1
   0.12500000E+03    0.58762122E+02    0.10222427E+03    0.73945105E+02    0.14837444E+03    0.78539816E+00    0.26673603E-04   -0.30282895E+00    0.26937169E+01    0.22736180E+01    0.12444175E+00    0.79151966E-02   -0.24579701E-02    0.42680461E+00    0.12886786E+00   -0.23638400E+00    0.91516543E+00    0.48941434E-01   -0.49695010E+00   -0.11541305E+00    0.12633164E+05   -0.57255733E+04   -0.78125000E+04    0.10945039E+01    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.10493755E+01    0.10945039E+01    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.10493755E+01    0.10945039E+01    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.10493755E+01    0.10945039E+01    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.99970087E+00    0.10493755E+01   -0.34641032E-01    0.65807216E-01    0.49060367E-02    0.33391104E-03    0.53874362E+01   -0.53874362E+01    0.36988999E+00   -0.36988999E+00    0.45528560E+01   -0.45528560E+01    0.14121155E+01    0.11652655E+00   -0.28532544E+00    0.53879134E+01    0.20044254E+00    0.46040496E+01    0.94267423E+00    0.10891613E+00   -0.24836718E+00    0.16193839E+02    0.62359189E+00    0.13759785E+02   -0.11116680E-03   -0.38426294E-01   -0.38426294E-01    0.58943591E-06    0.82895788E-18    0.31157341E-23    0.39672307E-02    0.79400898E-06    0.21125037E+00  1  1  1  1  1  1  1  1
   0.12500000E+03    0.69950039E+02    0.10501325E+03    0.76133200E+02    0.15436080E+03    0.78539816E+00   -0.12129380E-04   -0.22514847E+00    0.67290257E+00    0.41127045E-01   -0.95355444E-01    0.14635411E-02    0.50264620E-01    0.22863209E-02    0.12886786E+00   -0.19533776E+00    0.84980471E+00    0.71395058E-01   -0.52345047E+00   -0.10119364E+00    0.11717354E+05   -0.19320733E+04   -0.78125000E+04    0.10536953E+01    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.10293348E+01    0.10536953E+01    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.10293348E+01    0.10536953E+01    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.10293348E+01    0.10536953E+01    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.99982842E+00    0.10293348E+01   -0.29240993E-01    0.71575563E-01    0.52262655E-02    0.33391104E-03    0.13507379E+01   -0.13507379E+01    0.30861729E+00   -0.30861729E+00    0.15553478E+00   -0.15553478E+00    0.13732552E+01   -0.96818985E-01   -0.26673282E+00    0.13515152E+01   -0.36206692E+00    0.69634664E+00    0.87105439E+00   -0.92562913E-01   -0.21937997E+00    0.40947383E+01    0.16584909E+01   -0.69584434E+00    0.12529744E-01   -0.17730099E+00   -0.17730099E+00    0.00000000E+00    0.61307354E-16    0.29244845E-22    0.39667246E-02    0.10736069E-07    0.22506531E-01  1  1  1  1  1  1  1  1
   0.12500000E+03    0.69112574E+02    0.79697018E+02    0.73915026E+02    0.99155559E+02    0.78539816E+00    0.26730636E-04   -0.30918982E+00    0.11235135E+01    0.17899119E+00   -0.15752856E+00    0.13589636E+00   -0.57621385E-01   -0.56164640E-01    0.12886786E+00   -0.28655615E+00    0.47593755E+00    0.33204676E-02   -0.14079359E+00   -0.25980862E-01    0.14149538E+05   -0.45948217E+04   -0.78125000E+04    0.10944117E+01    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.10489868E+01    0.10944117E+01    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.10489868E+01    0.10944117E+01    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.10489868E+01    0.10944117E+01    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.99970228E+00    0.10489868E+01   -0.25837117E-01    0.10204946E-01    0.97414603E-03    0.33391104E-03    0.22504940E+01   -0.22504940E+01    0.26248727E+00   -0.26248727E+00    0.36008090E+00   -0.36008090E+00    0.61673114E+00   -0.29342492E+00   -0.28987662E+00    0.22567760E+01    0.45076049E+00    0.15520857E+00    0.47773536E+00   -0.13590677E+00   -0.30997575E+00    0.68065247E+01    0.16991218E+01    0.82588841E-01    0.22196375E-01    0.22196375E-01   -0.15693448E-01    0.00000000E+00    0.21170366E-15    0.27038175E-19    0.39672251E-02    0.31090630E-08    0.24343359E-04  1  1  1  1  1  1  1  1
   0.12500000E+03    0.68709791E+02    0.12327103E+03    0.74104818E+02    0.16293535E+03    0.78539816E+00   -0.87978997E-05   -0.36543957E+00    0.36049625E+01    0.21012580E+01    0.39377735E-01    0.11190504E-01   -0.50487351E-02   -0.25149329E+00    0.12886786E+00   -0.34001222E+00    0.10855213E+01    0.14736271E+00   -0.54729168E+00   -0.17278126E+00    0.15797994E+05   -0.63564569E+04   -0.78125000E+04    0.12064567E+01    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.10967971E+01    0.12064567E+01    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.10967971E+01    0.12064567E+01    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.10967971E+01    0.12064567E+01    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.99936477E+00    0.10967971E+01   -0.18386344E-01    0.61791886E-01    0.29494089E-02    0.33391104E-03    0.72099326E+01   -0.72099326E+01    0.41955040E+00   -0.41955040E+00    0.42160589E+01   -0.42160589E+01    0.16328130E+01    0.28187231E-01   -0.48737493E+00    0.72130472E+01    0.18011737E+00    0.42770121E+01    0.11329032E+01    0.14343114E-01   -0.36235951E+00    0.21643634E+02    0.54063892E+00    0.12826257E+02    0.47588047E-02    0.47588047E-02   -0.21077044E-02    0.00000000E+00    0.11972403E-15    0.43480142E-23    0.39685650E-02    0.54976432E-08    0.15137945E+00  1  1  1  1  1  1  1  1
